dataset,round,loss,auc,clients,local_epochs,clip_norm,noise_std,epsilon
movielens,1,0.674311478876735,0.5438693289518127,10,1,1.0,0.04,0.1
movielens,2,0.6650208456626394,0.5762216432719045,10,1,1.0,0.04,0.1
movielens,3,0.6571049014248277,0.6061264050255899,10,1,1.0,0.04,0.1
movielens,4,0.6487004089036151,0.6282973153744169,10,1,1.0,0.04,0.1
movielens,5,0.6409959373453498,0.6509176027649719,10,1,1.0,0.04,0.1
movielens,6,0.6338371878926337,0.6682164660314128,10,1,1.0,0.04,0.1
movielens,7,0.6271011817462135,0.6811913499791685,10,1,1.0,0.04,0.1
movielens,8,0.6205492010144142,0.69156158068771,10,1,1.0,0.04,0.1
movielens,9,0.6150509252483802,0.6991560073699649,10,1,1.0,0.04,0.1
movielens,10,0.6100517962384552,0.7064369125508425,10,1,1.0,0.04,0.1
